folder,n_pytorch_modeling,pytorch_modeling_files,n_modular,modular_files,n_tokenization,n_processing,n_image_processing,n_feature_extraction,has_pt_modeling,has_modular,has_exact_pt_modeling,is_modular_only,is_no_modeling,all_modeling_variants
lfm2_moe,1,modeling_lfm2_moe.py,1,modular_lfm2_moe.py,0,0,0,0,True,True,True,False,False,modeling_lfm2_moe.py
lfm2_vl,1,modeling_lfm2_vl.py,1,modular_lfm2_vl.py,0,1,1,0,True,True,True,False,False,modeling_lfm2_vl.py
lightglue,1,modeling_lightglue.py,1,modular_lightglue.py,0,0,2,0,True,True,True,False,False,modeling_lightglue.py
lighton_ocr,1,modeling_lighton_ocr.py,1,modular_lighton_ocr.py,0,1,0,0,True,True,True,False,False,modeling_lighton_ocr.py
lilt,1,modeling_lilt.py,0,,0,0,0,0,True,False,True,False,False,modeling_lilt.py
llama,1,modeling_llama.py,0,,1,0,0,0,True,False,True,False,False,modeling_llama.py
llama4,1,modeling_llama4.py,0,,0,1,1,0,True,False,True,False,False,modeling_llama4.py
llava,1,modeling_llava.py,0,,0,1,2,0,True,False,True,False,False,modeling_llava.py
llava_next,1,modeling_llava_next.py,0,,0,1,2,0,True,False,True,False,False,modeling_llava_next.py
llava_next_video,1,modeling_llava_next_video.py,1,modular_llava_next_video.py,0,1,0,0,True,True,True,False,False,modeling_llava_next_video.py
llava_onevision,1,modeling_llava_onevision.py,1,modular_llava_onevision.py,0,1,2,0,True,True,True,False,False,modeling_llava_onevision.py
longcat_flash,1,modeling_longcat_flash.py,1,modular_longcat_flash.py,0,0,0,0,True,True,True,False,False,modeling_longcat_flash.py
longformer,1,modeling_longformer.py,0,,0,0,0,0,True,False,True,False,False,modeling_longformer.py
longt5,1,modeling_longt5.py,0,,0,0,0,0,True,False,True,False,False,modeling_longt5.py
luke,1,modeling_luke.py,0,,1,0,0,0,True,False,True,False,False,modeling_luke.py
lw_detr,1,modeling_lw_detr.py,1,modular_lw_detr.py,0,0,0,0,True,True,True,False,False,modeling_lw_detr.py
lxmert,1,modeling_lxmert.py,0,,0,0,0,0,True,False,True,False,False,modeling_lxmert.py
m2m_100,1,modeling_m2m_100.py,0,,1,0,0,0,True,False,True,False,False,modeling_m2m_100.py
mamba,1,modeling_mamba.py,0,,0,0,0,0,True,False,True,False,False,modeling_mamba.py
mamba2,1,modeling_mamba2.py,0,,0,0,0,0,True,False,True,False,False,modeling_mamba2.py
marian,1,modeling_marian.py,0,,1,0,0,0,True,False,True,False,False,modeling_marian.py
markuplm,1,modeling_markuplm.py,0,,1,1,0,1,True,False,True,False,False,modeling_markuplm.py
mask2former,1,modeling_mask2former.py,1,modular_mask2former.py,0,0,2,0,True,True,True,False,False,modeling_mask2former.py
maskformer,2,modeling_maskformer.py;modeling_maskformer_swin.py,1,modular_maskformer.py,0,0,2,0,True,True,True,False,False,modeling_maskformer.py;modeling_maskformer_swin.py
mbart,1,modeling_mbart.py,0,,1,0,0,0,True,False,True,False,False,modeling_mbart.py
mbart50,0,,0,,1,0,0,0,False,False,False,False,True,
megatron_bert,1,modeling_megatron_bert.py,0,,0,0,0,0,True,False,True,False,False,modeling_megatron_bert.py
megatron_gpt2,0,,0,,0,0,0,0,False,False,False,False,True,
